theta_hid_log[2], theta_out_log[1]
0.616628, -0.301901, 1.48672
0.616602, -0.301321, 1.48109
0.616573, -0.300742, 1.47544
0.616539, -0.300164, 1.46977
0.616503, -0.299587, 1.46407
0.616462, -0.299012, 1.45835
0.616418, -0.298438, 1.45261
0.61637, -0.297865, 1.44685
0.616319, -0.297294, 1.44106
0.616263, -0.296724, 1.43524
0.616203, -0.296156, 1.42941
0.61614, -0.295589, 1.42354
0.616072, -0.295023, 1.41766
0.616001, -0.294459, 1.41175
0.615925, -0.293897, 1.40582
0.615845, -0.293337, 1.39987
0.615761, -0.292778, 1.39389
0.615673, -0.292221, 1.38789
0.61558, -0.291666, 1.38186
0.615484, -0.291113, 1.37581
0.615382, -0.290561, 1.36974
0.615277, -0.290012, 1.36364
0.615166, -0.289464, 1.35752
0.615052, -0.288919, 1.35138
0.614932, -0.288376, 1.34521
0.614808, -0.287834, 1.33902
0.61468, -0.287295, 1.3328
0.614547, -0.286759, 1.32657
0.614408, -0.286224, 1.32031
0.614266, -0.285692, 1.31402
0.614118, -0.285162, 1.30771
0.613965, -0.284635, 1.30138
0.613808, -0.28411, 1.29503
0.613645, -0.283588, 1.28865
0.613477, -0.283068, 1.28225
0.613305, -0.282551, 1.27583
0.613127, -0.282036, 1.26939
0.612944, -0.281525, 1.26292
0.612756, -0.281016, 1.25643
0.612562, -0.28051, 1.24991
0.612363, -0.280007, 1.24338
0.612159, -0.279507, 1.23682
0.611949, -0.27901, 1.23024
0.611734, -0.278515, 1.22364
0.611514, -0.278024, 1.21702
0.611287, -0.277537, 1.21037
0.611056, -0.277052, 1.20371
0.610818, -0.276571, 1.19702
0.610575, -0.276093, 1.19031
0.610327, -0.275618, 1.18358
0.610072, -0.275147, 1.17683
0.609812, -0.27468, 1.17006
0.609546, -0.274216, 1.16326
0.609274, -0.273755, 1.15645
0.608996, -0.273298, 1.14962
0.608712, -0.272845, 1.14277
0.608422, -0.272396, 1.1359
0.608126, -0.271951, 1.129
0.607824, -0.271509, 1.12209
0.607516, -0.271072, 1.11516
0.607201, -0.270638, 1.10822
0.606881, -0.270209, 1.10125
0.606554, -0.269783, 1.09427
0.606222, -0.269362, 1.08726
0.605883, -0.268945, 1.08024
0.605537, -0.268532, 1.07321
0.605185, -0.268124, 1.06615
0.604827, -0.26772, 1.05908
0.604463, -0.26732, 1.05199
0.604092, -0.266925, 1.04489
0.603715, -0.266534, 1.03777
0.603331, -0.266148, 1.03064
0.602941, -0.265767, 1.02349
0.602545, -0.26539, 1.01633
0.602142, -0.265018, 1.00915
0.601732, -0.264651, 1.00195
0.601316, -0.264289, 0.994749
0.600893, -0.263931, 0.98753
0.600464, -0.263579, 0.980298
0.600028, -0.263231, 0.973054
0.599586, -0.262888, 0.965798
0.599137, -0.262551, 0.95853
0.598681, -0.262218, 0.951251
0.598219, -0.261891, 0.943962
0.597751, -0.261569, 0.936662
0.597275, -0.261252, 0.929352
0.596793, -0.26094, 0.922032
0.596305, -0.260634, 0.914704
0.59581, -0.260333, 0.907367
0.595308, -0.260038, 0.900022
0.5948, -0.259747, 0.89267
0.594285, -0.259463, 0.88531
0.593764, -0.259183, 0.877943
0.593236, -0.25891, 0.870571
0.592702, -0.258641, 0.863193
0.592161, -0.258379, 0.855809
0.591614, -0.258122, 0.848421
0.59106, -0.25787, 0.841029
0.5905, -0.257624, 0.833633
0.589934, -0.257384, 0.826233
0.589361, -0.25715, 0.818831
0.588781, -0.256921, 0.811427
0.588196, -0.256698, 0.804022
0.587604, -0.256481, 0.796615
0.587006, -0.256269, 0.789208
0.586402, -0.256063, 0.7818
0.585791, -0.255863, 0.774394
0.585175, -0.255669, 0.766988
0.584552, -0.255481, 0.759583
0.583923, -0.255298, 0.752181
0.583288, -0.255121, 0.744782
